route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,trip_type
15,000019,88____:049::8896008:8892205:5:1225:20220410,Lichtervelde,11033,,245,,1
11,000006,88____:049::8896008:8896388:2:1826:20220408,Bissegem,11033,,246,,1
19,000011,88____:049::8891009:8892205:4:825:20220327,Lichtervelde,11033,,247,,1
1,000016,88____:049::8896735:8896305:5:1224:20220227,Menin,11034,,248,,1
2,000021,88____:049::8892205:8892338:6:1530:20220220,La Panne,11034,,249,,1
14,000018,88____:049::8895802:8895000:3:1344:20220306,Alost,11034,,250,,1
19,000003,88____:049::8892205:8891009:4:722:20220313,Bruges,11034,,251,,1
3,000014,88____:049::8895208:8892007:10:2132:20220320,Gand-Saint-Pierre,11034,,252,,1
15,000019,88____:049::8896008:8892205:5:1325:20220410,Lichtervelde,11034,,253,,1
11,000006,88____:049::8896008:8896388:2:1926:20220408,Bissegem,11034,,254,,1
19,000011,88____:049::8891009:8892205:4:925:20220327,Lichtervelde,11034,,255,,1
1,000016,88____:049::8896735:8896305:5:1324:20220227,Menin,11035,,256,,1
2,000021,88____:049::8892205:8892338:6:1630:20220220,La Panne,11035,,257,,1
14,000018,88____:049::8895802:8895000:3:1444:20220306,Alost,11035,,258,,1
19,000003,88____:049::8892205:8891009:4:822:20220313,Bruges,11035,,259,,1
3,000014,88____:049::8895208:8892007:10:2232:20220320,Gand-Saint-Pierre,11035,,260,,1
15,000019,88____:049::8896008:8892205:5:1425:20220410,Lichtervelde,11035,,261,,1
11,000006,88____:049::8896008:8896388:2:2026:20220408,Bissegem,11035,,262,,1
19,000011,88____:049::8891009:8892205:4:1025:20220327,Lichtervelde,11035,,263,,1
1,000016,88____:049::8896735:8896305:5:1424:20220227,Menin,11036,,264,,1
2,000021,88____:049::8892205:8892338:6:1730:20220220,La Panne,11036,,265,,1
14,000018,88____:049::8895802:8895000:3:1544:20220306,Alost,11036,,266,,1
19,000003,88____:049::8892205:8891009:4:922:20220313,Bruges,11036,,267,,1
3,000024,88____:049::8895208:8892007:10:2332:20220319,Gand-Saint-Pierre,11036,,268,,1
15,000019,88____:049::8896008:8892205:5:1525:20220410,Lichtervelde,11036,,269,,1
11,000006,88____:049::8896008:8896388:2:2126:20220408,Bissegem,11036,,270,,1
19,000011,88____:049::8891009:8892205:4:1125:20220327,Lichtervelde,11036,,271,,1
1,000016,88____:049::8896735:8896305:5:1524:20220227,Menin,11037,,272,,1
2,000021,88____:049::8892205:8892338:6:1830:20220220,La Panne,11037,,273,,1
14,000018,88____:049::8895802:8895000:3:1644:20220306,Alost,11037,,274,,1
19,000003,88____:049::8892205:8891009:4:1022:20220313,Bruges,11037,,275,,1
15,000019,88____:049::8896008:8892205:5:1625:20220410,Lichtervelde,11037,,276,,1
11,000006,88____:049::8896008:8896388:2:2226:20220408,Bissegem,11037,,277,,1
20,000014,88____:049::8893401:8894201:3:759:20220320,Lokeren,11037,,278,,1
19,000011,88____:049::8891009:8892205:4:1225:20220327,Lichtervelde,11037,,279,,1
1,000016,88____:049::8896735:8896305:5:1624:20220227,Menin,11038,,280,,1
2,000021,88____:049::8892205:8892338:6:1930:20220220,La Panne,11038,,281,,1
14,000018,88____:049::8895802:8895000:3:1744:20220306,Alost,11038,,282,,1
19,000003,88____:049::8892205:8891009:4:1122:20220313,Bruges,11038,,283,,1
15,000019,88____:049::8896008:8892205:5:1725:20220410,Lichtervelde,11038,,284,,1
11,000006,88____:049::8896008:8896388:2:2326:20220408,Bissegem,11038,,285,,1
20,000014,88____:049::8893401:8894201:3:859:20220320,Lokeren,11038,,286,,1
19,000011,88____:049::8891009:8892205:4:1325:20220327,Lichtervelde,11038,,287,,1
1,000016,88____:049::8896735:8896305:5:1724:20220227,Menin,11039,,288,,1
2,000021,88____:049::8892205:8892338:6:2030:20220220,La Panne,11039,,289,,1
14,000018,88____:049::8895802:8895000:3:1844:20220306,Alost,11039,,290,,1
19,000003,88____:049::8892205:8891009:4:1222:20220313,Bruges,11039,,291,,1
15,000019,88____:049::8896008:8892205:5:1825:20220410,Lichtervelde,11039,,292,,1
